Year,Season,Rk,Team,G,Pts/G,TotPts,Yds,Net Yds,Lng,Avg,Net Avg,Blk,Punts,OOB,Dn,TB,FC,Ret,IN 20,RetY,TD
2016,Pre,21,New Orleans Saints,4,14.8,59,939,852,61,47,42.6,0,20,4,0,1,5,10,5,67,0
2016,Pre,22,Kansas City Chiefs,4,19,76,907,784,70,47.7,41.3,1,18,1,2,1,2,12,7,103,0
2016,Pre,23,San Francisco 49ers,4,21.2,85,901,855,57,42.9,40.7,0,21,2,4,1,3,11,4,26,0
2016,Pre,24,Cincinnati Bengals,4,19.2,77,792,658,56,41.7,34.6,0,19,1,3,3,4,8,6,74,0
2016,Pre,25,Arizona Cardinals,4,18.8,75,789,737,56,43.8,40.9,0,18,0,1,1,5,11,7,32,0
2016,Pre,26,Carolina Panthers,4,20,80,787,660,61,41.4,34.7,0,19,4,3,0,3,9,7,127,0
2016,Pre,27,San Diego Chargers,4,15,60,785,657,62,52.3,43.8,0,15,1,3,4,0,7,6,48,0
2016,Pre,28,Dallas Cowboys,4,24.8,99,782,687,65,43.4,38.2,0,18,2,0,1,6,9,5,75,0
2016,Pre,29,Detroit Lions,4,21,84,756,646,57,44.5,38,0,17,0,3,1,6,7,6,90,0
2016,Pre,30,Baltimore Ravens,4,23.5,94,695,635,57,46.3,42.3,0,15,2,2,0,2,9,4,60,0
2016,Pre,30,Tennessee Titans,4,22.8,91,695,613,68,43.4,38.3,0,16,2,3,3,3,5,4,22,0
2016,Pre,32,Atlanta Falcons,4,17.5,70,603,496,58,46.4,38.2,0,13,1,0,2,3,7,5,67,0
2016,Post,1,Oakland Raiders,1,14,14,457,414,62,45.7,41.4,0,10,2,2,1,1,4,2,23,0
2016,Post,2,Houston Texans,2,21.5,43,755,619,63,44.4,36.4,0,17,0,0,2,5,10,7,96,0
2016,Post,3,New York Giants,1,13,13,312,262,55,39,32.8,0,8,1,0,0,2,5,2,50,0
2016,Post,4,Detroit Lions,1,6,6,232,227,55,46.4,45.4,0,5,0,1,0,3,1,2,5,0
2016,Post,5,Kansas City Chiefs,1,16,16,183,174,54,45.8,43.5,0,4,1,0,0,1,2,1,9,0
2016,Post,6,Green Bay Packers,3,31,93,524,478,66,47.6,43.5,0,11,0,2,1,3,5,3,26,0
2016,Post,7,New England Patriots,3,34.7,104,503,459,58,41.9,38.3,0,12,1,2,0,5,4,7,44,0
2016,Post,8,Atlanta Falcons,3,36,108,492,433,60,44.7,39.4,0,11,0,1,1,4,5,7,39,0
2016,Post,9,Seattle Seahawks,2,23,46,232,222,60,46.4,44.4,0,5,0,2,0,1,2,2,10,0
2016,Post,10,Miami Dolphins,1,12,12,102,73,61,51,36.5,0,2,0,0,1,0,1,0,9,0
2016,Post,11,Dallas Cowboys,1,31,31,95,95,53,47.5,47.5,0,2,0,0,0,2,0,1,0,0
2016,Post,12,Pittsburgh Steelers,3,21.7,65,268,239,47,38.3,34.1,0,7,3,0,1,2,1,2,9,0
2017,Reg,1,Houston Texans,16,21.1,338,"4,507","3,799",68,49,41.3,0,92,8,8,5,22,49,32,608,1
2017,Reg,2,New York Jets,16,18.6,298,"4,378","3,807",70,46.6,40.5,0,94,8,10,4,23,49,33,491,1
2017,Reg,3,New York Giants,16,15.4,246,"4,189","3,561",69,43.2,36.7,2,95,7,16,9,20,43,19,448,1
2017,Reg,4,Arizona Cardinals,16,18.4,295,"4,159","3,493",63,47.3,39.7,0,88,6,13,8,13,48,29,506,0
2017,Reg,5,Seattle Seahawks,16,22.9,366,"4,141","3,569",74,45,38.8,0,92,10,12,6,19,45,29,452,0
2017,Reg,6,Cincinnati Bengals,16,18.1,290,"4,101","3,631",63,46.1,40.8,1,88,7,12,3,23,43,32,410,1
2017,Reg,7,Chicago Bears,16,16.5,264,"4,087","3,455",69,47,39.7,0,87,8,9,6,15,49,27,512,1
2017,Reg,8,Jacksonville Jaguars,16,26.1,417,"3,835","3,427",65,43.6,38.9,1,87,15,8,9,25,30,29,228,0
2017,Reg,9,Cleveland Browns,16,14.6,234,"3,827","3,305",67,46.7,40.3,1,81,6,15,2,13,45,24,482,0
2017,Reg,10,Washington Redskins,16,21.4,342,"3,794","3,239",64,45.7,39,0,83,5,7,6,26,39,33,435,1
2017,Reg,11,Baltimore Ravens,16,24.7,395,"3,765","3,428",67,44.3,40.3,1,84,16,13,3,18,34,40,277,0
2017,Reg,12,Indianapolis Colts,16,16.4,263,"3,764","3,624",61,44.3,42.6,1,84,16,19,3,27,19,28,80,0
2017,Reg,13,Tennessee Titans,16,20.9,334,"3,728","3,342",74,49.7,44.6,0,75,16,5,5,9,40,28,286,0
2017,Reg,14,Miami Dolphins,16,17.6,281,"3,695","3,375",64,44.5,40.7,0,83,6,17,5,20,35,30,220,0
2017,Reg,15,Los Angeles Chargers,16,22.2,355,"3,558","3,059",69,48.1,41.3,0,74,4,7,9,6,48,27,319,0
2017,Reg,16,Buffalo Bills,16,18.9,302,"3,529","3,199",60,44.7,40.5,0,79,10,9,6,16,38,28,210,0
2017,Reg,17,Denver Broncos,16,18.1,289,"3,357","3,039",60,44.2,40,2,74,5,13,3,23,30,24,258,1
2017,Reg,18,Oakland Raiders,16,18.8,301,"3,270","2,945",65,47.4,42.7,0,69,6,10,6,15,32,28,205,0
2017,Reg,19,Carolina Panthers,16,22.7,363,"3,269","3,013",63,46,42.4,0,71,6,10,4,21,30,25,176,0
2017,Reg,20,San Francisco 49ers,16,20.7,331,"3,255","3,097",59,43.4,41.3,0,75,8,10,1,23,33,31,138,1
2017,Reg,21,Detroit Lions,16,25.6,410,"3,190","2,872",64,43.7,39.3,0,73,8,8,6,25,26,25,198,0
2017,Reg,22,Green Bay Packers,16,20,320,"3,155","2,951",62,44.4,41.6,0,71,8,8,2,24,29,19,164,0
2017,Reg,23,Los Angeles Rams,16,29.9,478,"3,113","2,881",70,47.9,44.3,0,65,16,8,4,12,25,30,152,0
2017,Reg,24,Philadelphia Eagles,16,28.6,457,"3,033","2,762",62,44.6,40.6,1,67,7,16,5,14,25,21,171,0
2017,Reg,25,Minnesota Vikings,16,23.9,382,"2,994","2,781",56,42.2,39.2,0,71,7,7,0,33,24,29,213,1
2017,Reg,26,Kansas City Chiefs,16,25.9,415,"2,936","2,672",77,45.2,41.1,0,65,5,9,5,22,24,29,164,0
2017,Reg,27,Dallas Cowboys,16,22.1,354,"2,908","2,733",62,44.1,41.4,0,66,9,14,5,20,18,34,75,0
2017,Reg,28,Tampa Bay Buccaneers,16,20.9,335,"2,857","2,604",62,43.3,39.5,1,65,5,7,5,21,27,24,153,0
